Job Title,Company Name,Company Location,Salary,Experience Required,Job Description,Skills and Related Content
UI/UX Designer,Conversely,Company Location not found,"₹5,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹5,000 a monthJob typeFull-timeInternshipShift and scheduleDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job descriptionPosition: UI/UX Designer Intern
Location: Work From Home
Responsibilities:","skills to work effectively.
Ability to adapt to feedback and iterate on designs to continuously improve the app's user experience."
IT Data Architect - Senior Manager,Boston Consulting Group,"Delhi, Delhi",Salary not mentioned,12+ years,"Full job description
WHAT YOU'LL DO","skills to present architecture, features, and solution recommendations"
Junior Data Analyst For E-Commerce,Divyansh Manpower,"Rajkot, Gujarat","Up to ₹27,000 a month",,"Job detailsHere’s how the job details align with your profile.PayUp to ₹27,000 a monthJob typeFull-timeShift and scheduleDay shift&nbsp;LocationRajkot, Gujarat&nbsp;Full job descriptionKey Responsibilities:",Skills information not found
Python Developer,Wikasta Business and Technical Solutions Pvt. Ltd.,Company Location not found,"₹25,000 - ₹40,000 a month",3 years,"Job detailsHere’s how the job details align with your profile.Pay₹25,000 - ₹40,000 a monthJob typeFull-timeShift and scheduleDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionFlexible scheduleWork from home&nbsp;Full job descriptionJob Description:
We are seeking a talented Python Developer with experience in the Flask, PostgreSQL, and SQLAlchemy stack to join our team. As a Python Developer at Abekus.ai, you will be responsible for developing and maintaining server-side logic, ensuring high performance and responsiveness to requests from the frontend. This is a remote position, so the ideal candidate should be self-motivated and capable of working independently.
Responsibilities:","skills and attention to detail.
Excellent communication and teamwork skills."
Digital Marketing Specialist (B2B US market),Webomates,Company Location not found,"₹9,659.90 - ₹14,812.78 a month",2-5 years,"Job detailsHere’s how the job details align with your profile.Pay₹9,659.90 - ₹14,812.78 a monthJob typeFull-timeShift and scheduleDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionFlexible scheduleWork from home&nbsp;Full job descriptionLocation: Remote (Anywhere in India)
Job Type: Full-Time
Reporting: Availability to participate in scheduled calls with the CEO and COO twice a week in EST time (up to 2:00PM EST)
Overview
Webomates is looking for a highly motivated Digital Marketing Specialist with a strong focus on B2B lead generation within the US market. The ideal candidate should have proven experience in directing digital marketing campaigns across various platforms including paid search, LinkedIn, display ads, and multiple social media channels. In this role, you'll play a key role in developing and executing our digital marketing strategy, driving brand awareness, and generating leads.
Key Responsibilities",skills.
Assistant Scientist - Biotechnology,VNR Seeds,"Raipur, Chhattisgarh",Salary not mentioned,,Full job description,Skills:
Data Analyst,Hexanika,"Pune, Maharashtra",Salary not mentioned,,Full job description,Skills information not found
"Business Data Analyst - Data - Bangalore, India",MPOWER Financing,"Bengaluru, Karnataka",Salary not mentioned,5 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationBengaluru, Karnataka&nbsp;BenefitsPulled from the full job descriptionHealth insurance&nbsp;Full job description","skills and grow with the company. MPOWER is committed to cultivating your strengths and curiosity and helping you make an immediate impact.
MPOWER has been named one of the best fintechs to work for by American Banker for the past 5 years in a row.. We are honored to be nominated by multiple agencies and publications for our leadership in Tech, diversity and social impact. We pride ourselves on being a ""growth company for grown-ups,"" where there are no pool tables but rather great health, education, and maternity/paternity benefits instead. Our team diversity has been recognized as well; we're one of the most diverse workforces in the world in terms of nationality, gender, religion, age, sexual orientation, and educational background.
 THIS IS A FULL-TIME POSITION BASED IN BANGALORE, INDIA
 THE ROLE
As a Business Data Analyst, you'll closely work with all the business stakeholders for collection, usage and reporting of key data points. Your focus will include designing, engineering, developing, documenting, and reporting analytical efforts to translate complex data into actionable business recommendations. Your responsibilities will include but not limited to:"
Data Engineer,Ford Motor Company,"Chennai, Tamil Nadu",Salary not mentioned,3-5 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationChennai, Tamil Nadu&nbsp;Full job description
Do you thrive on uncovering hidden insights and turning raw data into actionable strategies? Are you passionate about leveraging cutting-edge technologies to drive business success? 
We're seeking a talented and detail-oriented Data Engineer to join our dynamic Indirect Procurement team. As a key member of our data-driven organization, you'll play a vital role in shaping our future by extracting valuable knowledge from our vast datasets that drive cost optimization, streamline operations.
Join our team and be part of a data-driven revolution!","Skills: Experience with data visualization tools like QlikSense or Looker is a plus.
Analytical Mindset: Strong problem-solving skills, exceptional attention to detail, and a data-driven approach.
Communication Champion: Excellent written and verbal communication skills to effectively convey complex data insights.
Agile and Collaborative: Experience working in an Agile environment and familiarity with version control systems (e.g., Git).
Growth Mindset: Proactive attitude, willingness to learn new technologies and methodologies, and a passion for continuous learning.
Domain Knowledge (Bonus): Familiarity with indirect purchasing processes and SAP Ariba/S4 knowledge is a plus."
UI UX Designer,Virtusa,"Gurugram, Haryana",Salary not mentioned,8 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationGurugram, Haryana&nbsp;Full job description
Primary skills Figma Sketch HTML, CSS, Java Script Jira, Confluence  We are looking for a talented and passionate UX Designer to join our dynamic team. As a UX Designer, you will play a crucial role in shaping the user experience of our digital products. You will collaborate with cross-functional teams to create intuitive and engaging designs that meet user needs and business goals. Experience: 6 - 8 years  Responsibilities: Conduct user research to understand user needs, behaviors, and pain points. Develop user personas, user journey maps, and wireframes to communicate design concepts. Create high-fidelity prototypes using Figma and Sketch. Design and iterate on user interfaces to ensure a seamless user experience. Collaborate with product managers, developers, and other stakeholders to implement and refine designs. Conduct usability testing and gather feedback to improve designs. Stay up-to-date with industry trends and best practices in UX design.  Requirements: Proven experience as a UX Designer or similar role. Strong portfolio showcasing your design process and solutions. Proficiency in Sketch and Figma is mandatory. Experience with user research methods and usability testing. Excellent communication and collaboration skills. Ability to think critically and solve complex design problems. Knowledge of design principles, information architecture, and user-centered design. Familiarity with Jira, Confluence  Preferred Qualifications: Bachelors degree in Design, Human-Computer Interaction, or a related field. Experience working in an Agile development environment","skills Figma Sketch HTML, CSS, Java Script Jira, Confluence  We are looking for a talented and passionate UX Designer to join our dynamic team. As a UX Designer, you will play a crucial role in shaping the user experience of our digital products. You will collaborate with cross-functional teams to create intuitive and engaging designs that meet user needs and business goals. Experience: 6 - 8 years  Responsibilities: Conduct user research to understand user needs, behaviors, and pain points. Develop user personas, user journey maps, and wireframes to communicate design concepts. Create high-fidelity prototypes using Figma and Sketch. Design and iterate on user interfaces to ensure a seamless user experience. Collaborate with product managers, developers, and other stakeholders to implement and refine designs. Conduct usability testing and gather feedback to improve designs. Stay up-to-date with industry trends and best practices in UX design.  Requirements: Proven experience as a UX Designer or similar role. Strong portfolio showcasing your design process and solutions. Proficiency in Sketch and Figma is mandatory. Experience with user research methods and usability testing. Excellent communication and collaboration skills. Ability to think critically and solve complex design problems. Knowledge of design principles, information architecture, and user-centered design. Familiarity with Jira, Confluence  Preferred Qualifications: Bachelors degree in Design, Human-Computer Interaction, or a related field. Experience working in an Agile development environment"
Python Developer,IQZ Systems,Company Location not found,Salary not mentioned,,Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationRemote&nbsp;Full job description,Skills information not found
UI/UX Designer,EXR SYSTEMS,"Nagercoil, Tamil Nadu","₹8,000 - ₹15,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹8,000 - ₹15,000 a monthJob typeFull-timeShift and scheduleMorning shiftDay shift&nbsp;LocationNagercoil, Tamil Nadu&nbsp;Full job description
Collect and evaluate user requirements with the help of product managers and engineers.
Use storyboards, process flows, and sitemaps to illustrate design concepts.
Menus, tabs, and widgets are examples of graphic user interface elements.
Make page navigation buttons and search fields.
Create UI mockups and prototypes that clearly show how sites work and look.
Make unique graphic designs.
Rough draughts should be prepared and presented to internal teams and key stakeholders.
Identify and resolve UX issues.
Make layout changes based on user feedback. Follow font, color, and image style guidelines.",Skills information not found
UI/UX Designer Internship,Web Promos India,Company Location not found,"₹2,000 - ₹4,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹2,000 - ₹4,000 a monthJob typeInternshipShift and scheduleMonday to Friday&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job descriptionAs a UI/UX design intern at DietGhar.com, you will have the opportunity to work on exciting projects and contribute to the evolution of our digital platform. We are looking for a talented individual who is proficient in Figma, Adobe Illustrator, UI & UX design, User Interface Development, and Wireframing.
Selected intern's day-to-day responsibilities include:
1. Collaborating with the design team to create visually appealing and user-friendly interfaces for our website and mobile app.2. Conducting user research and gathering feedback to improve the overall user experience.3. Creating wireframes and prototypes to communicate design ideas and concepts.4. Working closely with developers to ensure design consistency and quality throughout the development process.5. Staying up-to-date on industry trends and best practices to continuously enhance our design strategy.
If you are passionate about creating exceptional user experiences and eager to gain hands-on experience in the field of UI/UX design, then we want to hear from you! Join us at DietGhar.com and bring your creativity and expertise to the table.
Who can apply
Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 16th Aug'24 and 18th Sep'24
3. are available for duration of 2 months
4. have relevant skills and interests of using Figma
* Women wanting to start/restart their career can also apply.
Job Type: InternshipContract length: 2 months
Schedule:","skills and interests of using Figma
* Women wanting to start/restart their career can also apply.
Job Type: InternshipContract length: 2 months
Schedule:"
Lead Data Management Analyst,Wells Fargo,"Hyderabad, Telangana",Salary not mentioned,5+ years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationHyderabad, Telangana&nbsp;Full job description
About this role:  Wells Fargo is seeking a...  In this role, you will:",Skills information not found
Associate Data Scientists,DeepTek Medical Imaging,"Pune, Maharashtra",Salary not mentioned,1+ years,"Job detailsHere’s how the job details align with your profile.Shift and scheduleMonday to Friday&nbsp;LocationPune, Maharashtra&nbsp;Full job description",Skillset required:
Senior Data Analyst,Comscore,"Pune, Maharashtra",Salary not mentioned,4-8 years,full job descriptionHealth insurancePaid sick timePaid time offProvident Fund&nbsp;Full job description,"skills are varied, we’re united by our commitment to five underlying values: Integrity, Velocity, Accountability, Teamwork, and Servant Leadership. If you’re motivated by big challenges and interested in helping some of the largest and most important media properties and brands navigate the future of media, we’d love to hear from you."
Technical Lead-Data Engineer (Python+ Spark+ Pyspark+ Snowflake),SuitableAI,"Bengaluru, Karnataka","₹30,00,000 - ₹50,00,000 a year",8 years,"Job detailsHere’s how the job details align with your profile.Pay₹30,00,000 - ₹50,00,000 a yearJob typeFull-timeShift and scheduleDay shift&nbsp;LocationBengaluru, Karnataka&nbsp;Full job descriptionJob Description:
We are seeking a talented Data Engineer proficient in Python, Spark, PySpark, and Snowflake to join our dynamic team. In this role, you will be responsible for designing, developing, and maintaining data pipelines and ETL processes to support our data infrastructure.
Responsibilities:","skills and ability to work effectively in a collaborative team environment.
Problem-solving aptitude and a willingness to learn new technologies."
Data Analytics- Team Member,Kotak Securities,India,Salary not mentioned,,Full job description,"skills and analytical ability
Recruit, train, develop and supervise analyst-level employees.
Designing the technical framework of models and guiding the team to execute it.
Coordinating the project requirements with IT teams, business managers
Ability to manage and guide a team of highly skilled and technically qualified analysts and modelers
Knowledge of programming, SQL, SAS, and other tools.
Understanding of IT systems and architecture ,technology and new developments in the field of Big Data, Data warehousing and management"
Python Developer,Digital Rath,Company Location not found,"₹5,00,000 - ₹7,20,000 a year",3+ years,"Job detailsHere’s how the job details align with your profile.Pay₹5,00,000 - ₹7,20,000 a yearJob typeFull-timeShift and scheduleRotational shiftUK shift&nbsp;LocationRemote&nbsp;Full job descriptionLocation: Remote
Mandatory Skills- Python 3+ years.
Total Years Of exp- 3+ years
Opportunity- Full Time, 8 hours
About the Role
A well-established company that is leveraging the advanced power of technology to help realize the science-fiction fantasy of collaborative and open-ended computer dialogues, is looking for Python engineers. The company is developing the next generation of dialog agents, which will have a wide range of uses in areas including education, entertainment, and general question-answering. For those who are keen to learn in a fast-paced setting, this is an exciting opportunity.
Required Skills:
● Write readable, reusable, and maintainable code
● Participate in code reviews to ensure that the standards for code quality are met
● Demonstrate your proficiency with Python coding while covering all bases
● Provide clear, clean, well-organized, correct, and clearly annotated/classifiable code in the responses
● Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience) ● Relevant experience as a software developer
● Extensive experience working with Python or Python for Data Science
● Proficiency with the language's syntax and conventions
● Excellent spoken and written English communication skills
● Previous experience tackling algorithmic problems
● Software Quality Assurance and Test Planning experience Search Guidance
Job Type: Full-time
Schedule:","Skills- Python 3+ years.
Total Years Of exp- 3+ years
Opportunity- Full Time, 8 hours
About the Role
A well-established company that is leveraging the advanced power of technology to help realize the science-fiction fantasy of collaborative and open-ended computer dialogues, is looking for Python engineers. The company is developing the next generation of dialog agents, which will have a wide range of uses in areas including education, entertainment, and general question-answering. For those who are keen to learn in a fast-paced setting, this is an exciting opportunity.
Required Skills:
● Write readable, reusable, and maintainable code
● Participate in code reviews to ensure that the standards for code quality are met
● Demonstrate your proficiency with Python coding while covering all bases
● Provide clear, clean, well-organized, correct, and clearly annotated/classifiable code in the responses
● Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience) ● Relevant experience as a software developer
● Extensive experience working with Python or Python for Data Science
● Proficiency with the language's syntax and conventions
● Excellent spoken and written English communication skills
● Previous experience tackling algorithmic problems
● Software Quality Assurance and Test Planning experience Search Guidance
Job Type: Full-time
Schedule:"
Digital Marketing Trainee,ProSofos,Company Location not found,Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job description
Digital Marketing Trainee
Remote Work, Full Time","skills and gain professional experience by working on digital marketing campaigns with our team. Our ideal intern candidate has a fundamental understanding of digital marketing best practices, graphic design abilities, web development experience, and strong communication skills. Applicants should be current students in a bachelors degree program.
 Duties & Responsibilities
Digital Marketing Interns are responsible for supporting the WSI team in daily activities. Examples of duties and responsibilities include:"
Internship - Digital Marketing,Syscom Softech Pvt. Ltd.,Delhi,Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeInternship&nbsp;LocationDelhi&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job description
Hiring Process",skills
Data Analyst (ETL Tools),Company Name not found,"Pune, Maharashtra",Salary not mentioned,2-4 years,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationPune, Maharashtra&nbsp;Full job description
Job Summary
The ETL developer is responsible for the development, unit testing and implementation of data integration solutions for Consulting/clients.
 Responsibilities and Duties","Skills Talend, Informatica, ETL, ETLTools, Pune, Punejobs, Data analyst, Data Analysis
 Required Experience and Qualifications"
Data Analyst,RightWave,"Noida, Uttar Pradesh",Salary not mentioned,3 Years,Full job description,"skills
Strong analytics and logic reasoning skills
Any experience on automated reporting tools like PowerBI, Google analytics is preferred.
Different kinds of Reports related to Marketing campaigns
Experience on working on complex & Large Data reports."
